ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q43,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q40,Q41,Q42,Q44,LocationLatitude,LocationLongitude,LocationAccuracy
,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Welcome to our survey. We we developed this to help us learn statistics and data analysis for our...,Gender,What is your political party affiliation?,Do you like to read non-fiction books?,What is your religion?,What color is the dress?,If you could have one superpower what would it be?,"Which of the following would you pick to fight alongside you in a barren, post-apocalyptic world? ",Which do you believe is the biggest issue the global community faces?,Which movie genre interests you the most?,Which application do you use most to listen to/stream music?,Which of the following electronics do you use the most?,What is your favorite sport?,What is your favorite time of day?,Which of the following would best describe your handedness?,In which CMC quad do you live?,Which music genre do you most enjoy listening to?,Are you planning on voting in the 2016 presidential election?,How many boyfriends / girlfriends have you had?,In which year were you born?,"On average, what percentage tip do you leave after a meal at a restaurant? (ex. 10,15,20)","On average, how many hours a day do you spend on social media?",How many siblings do you have?,"On average, how many movies have you watched this month?",How many times have you read Harry Potter and the Prisoner of Azkaban? ,How many miles away from home are you?,"On average, how many hours a week do you exercise? ","On average, how many hours of sleep do you get per night?","On average, how many hours do you spend on the phone a week?","On average, how many hours do you spend commuting to and from work / school everyday? ",How many times a week do you call your parents? ,"How many sports have you played? (ex. 2, 3 ,4)",How many GE requirements do you have left?,"On average, how many times have you lived alone for more than one week?",How many countries have you been to other than the US?,How many dogs do you have?,"On average, how many times a day do you snack?",How often do you eat off campus?,How much do you agree with the following statements?-I try to sleep at least 7 hours a night,How much do you agree with the following statements?-I use a reusable water bottle all the time,How much do you agree with the following statements?-I recycle everything I can,How much do you agree with the following statements?-I chose my major for job security,How much do you agree with the following statements?-I chose my major for genuine enjoyment,How often are you present?,How often do you talk to your family on the phone?,How often do you get a good night's rest? (Between 7 - 8 hours),Thank you so much for taking our survey. We are very grateful to you for taking your time to help...,LocationLatitude,LocationLongitude,LocationAccuracy
1,R_XEYxo3DacczZHwt,Default Response Set,Anonymous,,,,9,1/31/2016 17:20,1/31/2016 17:20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.10400391,-117.6641998,-1
2,R_O42TGDhtNYPGkk9,Default Response Set,Anonymous,,,,9,1/31/2016 17:20,1/31/2016 17:20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.10400391,-117.6641998,-1
3,R_54KWnJ2suBm9yIF,Default Response Set,Anonymous,,,,1,2/4/2016 8:08,2/4/2016 8:10,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,34.04620361,-117.6741943,-1
4,R_3PhnVbhmkp6vmam,Default Response Set,Anonymous,,,134.173.248.4,0,2/11/2016 22:29,2/11/2016 22:38,1,1,1,6,2,7,3,5,2,7,6,3,1,2,2,3,3,4,3,2,5,15,3,1,1,0,1300,0,6,2,0,3,6,2,2,0,2,3,2,1,5,4,3,3,5,4,3,1,34.12229919,-117.7142944,-1
5,R_1ONXDyXVTycV4ap,Default Response Set,Anonymous,,,134.173.218.233,0,2/11/2016 22:43,2/11/2016 22:47,1,1,1,6,2,1,2,2,7,6,3,3,1,7,1,4,3,7,1,2,4,10,10,1,5,2,1487,12,7,100,2,20,5,6,10,4,0,1,3,5,5,3,3,4,4,5,5,1,34.12229919,-117.7142944,-1
6,R_3Ed0Ww7t5dAsIL3,Default Response Set,Anonymous,,,134.173.173.83,0,2/12/2016 3:09,2/12/2016 3:14,1,1,1,1,2,7,1,2,1,3,1,3,2,5,4,4,3,7,2,2,6,10,2,3,1,0,2000,4,5,24,1,3,1,2,4,1,5,2,2,3,4,2,2,2,5,4,3,1,34.12229919,-117.7142944,-1
7,R_3HRjSSuLDSTWcEy,Default Response Set,Anonymous,,,70.209.197.180,0,2/12/2016 11:06,2/12/2016 11:16,1,1,1,6,1,1,1,3,1,2,2,3,1,2,4,4,3,2,2,1,6,10,3,3,2,0,"2,448",6,5,5,0.5,7,6,1,3,10,0,1,2,2,3,3,2,4,4,5,3,1,33.27009583,-117.2844009,-1
8,R_2tE8uc6TxevI1Kf,Default Response Set,Anonymous,,,166.170.48.195,0,2/12/2016 11:43,2/12/2016 11:49,1,1,1,2,2,1,1,4,3,7,4,4,1,1,2,4,2,4,1,2,5,15,2,3,7,0,950,20,6,21,0,3,5,3,2,2,0,2,2,4,2,2,2,4,4,4,4,1,34.05220032,-118.2436981,-1
9,R_1pnCWtPvMQGMrU6,Default Response Set,Anonymous,,,134.173.200.17,0,2/12/2016 0:54,2/12/2016 12:57,1,1,0,2,1,6,2,5,6,1,1,3,2,4,4,4,3,4,1,2,5,15,1,0,2,3,1812,10,7,0,0,0.5,4,3,0,2,0,2,2,4,5,3,4,3,4,3,4,1,34.12229919,-117.7142944,-1
